species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,External,All causes,2818483004.38544,564184579.834918,1712681227.9090006,3924284780.8618793,2021-01-01,43.73377831884,64446364.17730389,12900430.777367203,39161519.853664175,89731208.50094362
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,All conditions,5522728787.55812,813028375.989281,3929193170.619129,7116264404.49711,2021-01-01,43.73377831884,126280623.35009807,18590398.7087948,89843441.88086028,162717804.81933588
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Mortality,External,All causes,727206941.196545,121181075.222602,489692033.7602451,964721848.6328449,2017-01-01,23.8661044574125,30470282.340974335,5077538.9606980765,20518305.978006106,40422258.70394257
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Mortality,Non-infectious,All conditions,1088807092.73644,126715550.46384,840444613.8273135,1337169571.6455662,2017-01-01,23.8661044574125,45621483.58477794,5309435.8440421475,35214989.330455326,56027977.83910054
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Production loss,External,All causes,3143654944.19297,1178862520.14999,833084404.6989894,5454225483.686951,2017-01-01,23.8661044574125,131720488.77111956,49394844.56935957,34906593.41517481,228534384.12706432
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2017,Production loss,Non-infectious,All conditions,9213405814.05115,3054512428.09724,3226561454.9805593,15200250173.121738,2017-01-01,23.8661044574125,386045650.243921,127985379.16180737,135194307.08677852,636896993.4010633
All,Amhara,Crop livestock mixed,Oxen,Oxen,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
