species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,External,678735891.212222,94031427.0024357,672907870.07856,684563912.345884
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,Infectious,1131640733.83123,97291018.9606142,1125610684.80727,1137670782.85519
All Poultry,National,Village,Chick,Chick,Overall,2020,Mortality,Non-infectious,316397668.690194,60345289.9123593,312657497.599129,320137839.78126
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,External,3970607274.8858,2113898977.64702,3839588866.37186,4101625683.39973
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,Infectious,6794896385.82106,3595937588.99508,6572021960.40742,7017770811.2347
All Poultry,National,Village,Chick,Chick,Overall,2020,Production loss,Non-infectious,5918374184.80794,3169497308.31408,5721930316.14837,6114818053.46752
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,External,712672685.772833,98732998.3525575,706553263.582488,718792107.963178
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,Infectious,1188222770.52279,102155569.908645,1181891219.04763,1194554321.99796
All Poultry,National,Village,Chick,Chick,Overall,2021,Mortality,Non-infectious,332217552.124704,63362554.4079773,328290372.479085,336144731.770323
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,External,4169137638.63009,2219593926.52937,4031568309.69046,4306706967.56971
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,Infectious,7134641205.11211,3775734468.44483,6900623058.42779,7368659351.79643
All Poultry,National,Village,Chick,Chick,Overall,2021,Production loss,Non-infectious,6214292894.04834,3327972173.72979,6008026831.95579,6420558956.14089
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,External,160319962.403443,25078346.113946,158765618.969459,161874305.837427
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,Infectious,435318681.931159,31249605.3976971,433381846.912462,437255516.949857
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Mortality,Non-infectious,219832061.855351,25117161.6497555,218275312.65374,221388811.056962
